ID,AgeBracket,SexAtBirth,CurrentSex,Ethnicity,HighestEducation,HRQOL1,HRQOL2,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,WEMWBS1,WEMWBS2,WEMWBS3,WEMWBS4,WEMWBS5,WEMWBS6,WEMWBS7,WEMWBS8,WEMWBS9,WEMWBS10,WEMWBS11,WEMWBS12,WEMWBS13,WEMWBS14,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,SC0,SC1,SC2,SC3
141,18-33,Female,Non-binary / third gender,Other white ethnic group,Undergraduate Degree,Good,Oct-15,Somewhat agree,Somewhat agree,A little disagree,Strongly agree,Somewhat disagree,A little agree,Somewhat disagree,A little disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,A little agree,Somewhat agree,Rarely,Some of the time,None of the time,Some of the time,Rarely,Some of the time,Rarely,None of the time,Often,None of the time,Rarely,Often,Some of the time,Rarely,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Strongly agree,Very strongly agree,Neutral,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,3,92,33,75
142,18-33,Female,Non-binary / third gender,Other (not listed),"Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little disagree,Strongly disagree,Somewhat agree,Strongly agree,Often,Often,Often,Often,Rarely,Often,Often,Often,Often,Often,Often,All of the time,All of the time,Often,Very strongly agree,Very strongly agree,Mildly agree,Strongly disagree,Strongly agree,Very strongly agree,Very strongly agree,Mildly disagree,Very strongly agree,Strongly agree,Strongly disagree,Very strongly agree,2,112,56,66
143,18-33,Female,,Polish,Undergraduate Degree,Very Good,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,A little agree,A little agree,A little agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,A little disagree,Somewhat disagree,A little disagree,Somewhat agree,Strongly agree,Often,Often,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Very strongly agree,Very strongly agree,Strongly disagree,Very strongly disagree,Very strongly agree,Strongly agree,Strongly agree,Very strongly disagree,Very strongly agree,Very strongly agree,Strongly disagree,Strongly agree,2,99,48,59
144,18-33,Female,Non-binary / third gender,Other British,Undergraduate Degree,Good,Oct-15,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,A little agree,A little disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,All of the time,Some of the time,Often,Often,Rarely,Often,Often,Often,All of the time,Often,Often,All of the time,Often,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,3,108,55,79
145,18-33,Female,Female,Scottish,"Postgraduate Qualification, Masters",Excellent,0-5,A little agree,A little agree,Somewhat agree,A little agree,Somewhat disagree,Strongly disagree,Strongly disagree,A little agree,A little agree,Strongly disagree,A little agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,A little agree,A little agree,Often,Often,Some of the time,All of the time,Some of the time,Often,Often,Often,Often,Some of the time,Some of the time,All of the time,All of the time,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,1,98,55,84
146,18-33,Female,Female,Scottish,Undergraduate Degree,Good,0-5,Somewhat disagree,Somewhat agree,A little disagree,A little agree,A little agree,Strongly agree,Somewhat agree,A little disagree,Somewhat disagree,Strongly disagree,A little agree,A little agree,A little disagree,A little agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Rarely,Often,Often,Rarely,Some of the time,Some of the time,Rarely,Often,Rarely,Some of the time,Often,Some of the time,Some of the time,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,3,68,43,65
147,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",,Poor,05-Oct,A little agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,A little agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,A little agree,Rarely,Rarely,Rarely,Some of the time,None of the time,Rarely,Often,Rarely,Some of the time,Rarely,Some of the time,Often,Some of the time,Rarely,Neutral,Mildly agree,Very strongly agree,Mildly agree,Mildly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Mildly agree,5,82,35,63
148,18-33,Female,Female,Other white ethnic group,Undergraduate Degree,Very Good,None,Strongly agree,Strongly agree,A little agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little agree,Strongly disagree,Strongly agree,Somewhat agree,Often,Often,Some of the time,Often,Rarely,Some of the time,Often,Often,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Strongly agree,Strongly agree,Mildly agree,Neutral,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,2,113,50,74
149,18-33,Female,,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,A little agree,Somewhat disagree,A little disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,A little agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Rarely,Mildly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,Mildly agree,Mildly disagree,Strongly agree,2,78,45,62
150,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,A little disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A little disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Often,Often,Often,Often,Often,Often,Often,Some of the time,Often,Often,Often,All of the time,Some of the time,Neutral,Mildly agree,Neutral,Strongly disagree,Mildly agree,Mildly agree,Mildly agree,Neutral,Mildly agree,Mildly agree,Mildly agree,Mildly agree,2,93,55,54
151,18-33,Female,Female,Scottish,Undergraduate Degree,Very Good,None,Somewhat agree,Strongly agree,Neither agree nor disagree,A little agree,Somewhat disagree,A little agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,A little agree,Neither agree nor disagree,Often,Some of the time,Some of the time,All of the time,Some of the time,Often,Often,Often,All of the time,Some of the time,Some of the time,All of the time,Often,Often,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,2,100,54,80
152,18-33,Female,,Other British,Undergraduate Degree,Excellent,None,A little agree,Strongly agree,Strongly agree,Strongly agree,A little disagree,A little disagree,Somewhat disagree,A little agree,Somewhat agree,Somewhat disagree,A little agree,A little agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,A little agree,Some of the time,Some of the time,Some of the time,Often,Rarely,Some of the time,Some of the time,Rarely,Rarely,None of the time,Some of the time,Often,Some of the time,Rarely,Very strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Very strongly agree,Mildly agree,Strongly agree,1,91,38,72
153,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,25-30,A little disagree,A little disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Rarely,None of the time,Some of the time,None of the time,None of the time,Rarely,None of the time,None of the time,None of the time,None of the time,None of the time,Often,Rarely,None of the time,Very strongly disagree,Mildly agree,Mildly agree,Neutral,Neutral,Mildly agree,Mildly disagree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,4,51,22,55
154,18-33,Female,Female,Other British,"Postgraduate Qualification, Masters",Fair,05-Oct,Strongly agree,Somewhat agree,A little agree,Strongly agree,Somewhat disagree,Somewhat agree,A little disagree,Somewhat agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little agree,Somewhat disagree,A little agree,Somewhat agree,Some of the time,Some of the time,Rarely,Rarely,None of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Often,Some of the time,Some of the time,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,4,98,38,79
155,18-33,Male,,Other British,"Postgraduate Qualification, Masters",Very Good,05-Oct,Somewhat agree,Somewhat agree,Somewhat agree,A little disagree,Somewhat disagree,A little agree,A little disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,A little disagree,Somewhat agree,Somewhat agree,Some of the time,Often,Some of the time,Often,Some of the time,Often,Often,Often,Often,Some of the time,Some of the time,All of the time,Often,Some of the time,Very strongly agree,Very strongly agree,Strongly disagree,Strongly disagree,Very strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Very strongly agree,Mildly agree,Mildly agree,2,106,51,62
156,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,None,Somewhat agree,Somewhat agree,A little agree,Strongly disagree,Somewhat disagree,A little agree,A little disagree,Somewhat disagree,A little agree,A little agree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,Somewhat disagree,Somewhat disagree,A little agree,A little agree,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Mildly disagree,Mildly agree,Strongly agree,Very strongly agree,Mildly agree,Neutral,Mildly disagree,Mildly agree,Neutral,Mildly agree,Mildly agree,Neutral,3,90,38,56
157,18-33,Male,,Scottish,Undergraduate Degree,Excellent,None,Somewhat agree,Somewhat agree,A little disagree,A little disagree,Strongly disagree,A little disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Often,Often,Some of the time,Often,Rarely,Some of the time,Some of the time,Often,Often,All of the time,All of the time,All of the time,All of the time,Often,Strongly agree,Strongly agree,Very strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Mildly agree,Strongly agree,Strongly agree,Mildly disagree,1,105,55,57
158,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Excellent,0-5,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,A little agree,Strongly agree,Strongly agree,A little disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,All of the time,All of the time,Often,Some of the time,Often,All of the time,All of the time,All of the time,Some of the time,Often,Often,All of the time,All of the time,All of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,1,113,62,80
159,18-33,Female,,Mixed or Multiple Ethnic Groups,"Postgraduate Qualification, Masters",Very Good,0-5,Neither agree nor disagree,Strongly agree,A little agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,A little disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,A little agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,A little agree,Rarely,None of the time,Some of the time,Often,Rarely,Some of the time,Rarely,Some of the time,Often,Rarely,Some of the time,Often,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Mildly agree,Strongly agree,2,93,39,74
160,18-33,Female,Female,Other (not listed),Undergraduate Degree,Good,05-Oct,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,A little disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Some of the time,Rarely,None of the time,Rarely,None of the time,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Some of the time,Some of the time,Some of the time,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Very strongly agree,Strongly agree,Mildly disagree,Strongly agree,Mildly agree,Strongly agree,Neutral,Strongly agree,3,60,32,59
161,18-33,Female,Female,"Indian, Indian Scottish or Indian British",,Good,0-5,Somewhat agree,Strongly agree,Strongly agree,A little agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Some of the time,Some of the time,Rarely,Often,None of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,3,115,43,82
162,18-33,Female,,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Very Good,0-5,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,A little disagree,Somewhat disagree,Somewhat disagree,A little disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,A little disagree,A little disagree,Strongly disagree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Often,Some of the time,Often,Often,Often,Often,All of the time,Often,All of the time,All of the time,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,2,102,56,79
163,18-33,Male,Male,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,Oct-15,Somewhat agree,Neither agree nor disagree,A little disagree,A little agree,Neither agree nor disagree,A little agree,Somewhat agree,A little agree,Somewhat agree,A little agree,A little agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little agree,Somewhat agree,A little agree,A little agree,Some of the time,Often,Some of the time,Some of the time,Rarely,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Rarely,Rarely,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Strongly agree,4,71,42,79
164,18-33,Female,Female,"African, African Scottish or African British","Postgraduate Qualification, Masters",Very Good,0-5,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,A little disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Often,Often,Often,Some of the time,Some of the time,Often,Often,Often,Often,Often,Often,Often,Some of the time,Often,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,2,120,53,70
165,18-33,Female,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Fair,15-20,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,A little agree,Strongly agree,A little disagree,Somewhat disagree,A little agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,A little agree,Somewhat agree,A little disagree,Some of the time,Some of the time,Rarely,Often,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Mildly agree,Mildly agree,Strongly agree,Neutral,Mildly disagree,Mildly agree,Strongly agree,Mildly disagree,Strongly agree,Mildly disagree,Very strongly agree,Strongly agree,4,85,39,59
166,18-33,Male,Male,Other British,Undergraduate Degree,Excellent,0-5,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Often,Rarely,Often,Often,Often,Rarely,Often,Often,Rarely,Often,Often,Very strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,1,118,49,73
167,34-48,Female,,Other British,Undergraduate Degree,Good,0-5,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,Often,Often,Often,All of the time,Some of the time,Some of the time,Often,Often,Often,Often,Often,All of the time,All of the time,Often,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Mildly agree,3,111,57,74
168,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,Somewhat agree,Somewhat agree,A little agree,A little agree,A little disagree,Neither agree nor disagree,A little agree,A little agree,A little agree,A little agree,Somewhat agree,Somewhat agree,A little disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,91,38,69
169,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,Somewhat agree,A little agree,A little agree,A little disagree,Neither agree nor disagree,A little disagree,Neither agree nor disagree,A little agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little agree,A little disagree,Neither agree nor disagree,Somewhat disagree,A little agree,Somewhat agree,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Neutral,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Neutral,Neutral,Mildly agree,Neutral,Neutral,Mildly agree,3,92,44,58
170,18-33,Female,,Other white ethnic group,Undergraduate Degree,Very Good,20-25,A little agree,Strongly agree,Neither agree nor disagree,A little agree,A little agree,Neither agree nor disagree,Neither agree nor disagree,A little agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,A little agree,Somewhat disagree,Strongly agree,Somewhat agree,All of the time,Often,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Often,Often,Often,Strongly agree,Neutral,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,2,93,52,77
171,18-33,Female,,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,0-5,Somewhat disagree,A little agree,Somewhat agree,Strongly agree,A little disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Rarely,None of the time,Some of the time,Some of the time,None of the time,Rarely,Some of the time,Rarely,Some of the time,None of the time,Some of the time,Some of the time,Often,Rarely,Mildly disagree,Strongly disagree,Strongly agree,Mildly disagree,Strongly disagree,Mildly agree,Mildly disagree,Strongly disagree,Mildly agree,Mildly disagree,Strongly agree,Strongly disagree,3,71,33,42
172,18-33,Female,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Excellent,0-5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,A little disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,A little agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,A little agree,Somewhat agree,Somewhat agree,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1,94,48,73
173,18-33,Female,,Other British,Undergraduate Degree,Good,0-5,A little disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little agree,A little disagree,A little disagree,A little disagree,A little disagree,A little agree,A little agree,Strongly agree,A little disagree,A little agree,A little agree,A little disagree,Neither agree nor disagree,Often,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Strongly agree,Strongly agree,Mildly agree,Neutral,Strongly agree,Mildly agree,Mildly agree,Neutral,Mildly agree,Strongly agree,Mildly agree,Mildly agree,3,67,46,62
175,18-33,Female,Female,Scottish,"Postgraduate Qualification, Masters",Very Good,0-5,A little agree,A little disagree,A little agree,A little agree,A little agree,Strongly disagree,Strongly disagree,A little agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little agree,Strongly disagree,A little agree,Neither agree nor disagree,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,All of the time,Often,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,98,49,84
176,18-33,Female,,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Very Good,0-5,Strongly agree,Strongly agree,A little agree,Somewhat agree,A little agree,Somewhat disagree,Somewhat disagree,A little agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,Often,Often,Often,Often,All of the time,All of the time,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,106,54,79
177,18-33,Female,Female,Other (not listed),Undergraduate Degree,Good,05-Oct,Somewhat agree,Somewhat agree,A little disagree,A little agree,A little agree,A little disagree,A little agree,A little agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,A little disagree,Somewhat agree,Somewhat disagree,A little agree,Neither agree nor disagree,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Often,Some of the time,Rarely,Some of the time,Rarely,Rarely,Often,Rarely,Some of the time,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,3,89,38,66
179,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,0-5,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,A little disagree,A little disagree,A little agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,A little agree,Somewhat agree,Somewhat agree,A little disagree,Neither agree nor disagree,A little agree,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,4,86,46,71
180,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,None,Strongly agree,Strongly agree,A little disagree,A little agree,Somewhat disagree,Somewhat disagree,A little agree,Strongly agree,A little agree,A little disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,A little agree,A little agree,Often,Often,Some of the time,Often,Rarely,Some of the time,Often,Often,Often,Often,Often,Often,Often,Often,Neutral,Mildly agree,Very strongly agree,Mildly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Mildly agree,Strongly agree,2,95,52,60
181,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Very Good,0-5,,Strongly agree,Strongly agree,A little agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,A little disagree,Strongly disagree,Strongly agree,Somewhat agree,Often,All of the time,Some of the time,Some of the time,Often,Often,Often,All of the time,All of the time,Often,Often,All of the time,Some of the time,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,109,57,84
182,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,A little disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,A little agree,Somewhat agree,Often,Often,Often,All of the time,Often,Often,Often,Often,All of the time,Often,Often,All of the time,Often,Often,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,99,59,83
