ID,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q4,Q47_1,Q47_2,Q47_3,Q47_4,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q46_9,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q48_6,Q48_7,Q48_8,Q48_9,Q48_10,Q48_11,Q48_12,Q48_13,Q48_14,Q48_15,Q48_16,Q1,Q2,Q3,Q4,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16
254,18-33,Female,Female,Scottish,"Postgraduate Qualification, Masters",Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,I did this a lot,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,All the time,All the time,All the time,All the time,All the time,All the time,All the time,Once an hour,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,Once a week,Once a week,Once a week,Yes,751 or more,251-375,51-100,0,All the time,All the time,Once a week,Never,Several times a month,Once a month,Once a month,Never,Several times a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Fairly Often,Sometimes,Sometimes,Fairly Often,43,62,10,40,21,28,90,20,30,40,12,36,19,25,15,10,11
255,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,I did this a little bit,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a week,Several times an hour,Several times a day,Several times a day,Several times a month,Several times a month,Several times a month,Several times a week,Several times a month,Never,Several times a day,Several times a day,Several times a week,Several times a week,Several times a month,Several times a month,Several times a month,Yes,101-175,51-100,Jan-50,Jan-50,Several times a week,Several times a week,Several times a week,Several times a month,Several times a month,Several times a week,Several times a day,Several times a month,Several times a day,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Sometimes,Fairly Often,Fairly Often,Sometimes,35,69,6,28,21,14,63,6,11,24,9,43,11,21,11,10,17
257,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,I did this a lot,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a lot,I did this a lot,I did this a lot,I did this a little bit,I did this a medium amount,I did this a lot,I did this a lot,I did this a medium amount,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a medium amount,I did this a medium amount,Several times a day,Several times a day,Several times a day,Once a day,All the time,Once an hour,All the time,Several times a day,All the time,Once a day,Several times an hour,Several times an hour,Several times an hour,Once a day,Once an hour,All the time,All the time,Once an hour,Once a week,Once a week,Once a day,Once a day,Several times a month,Once a month,Once a day,Once a day,Once a day,Once a day,Once a month,Never,Never,Yes,51-100,51-100,Jan-50,Jan-50,Once a day,Several times a day,Once a month,Never,Several times a month,Several times a day,Once a month,Several times a month,Several times a week,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Fairly Often,Sometimes,Never,Very Often,35,92,13,27,28,15,77,8,15,24,4,36,10,24,14,10,10
258,18-33,Female,Female,Other white ethnic group,Undergraduate Degree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I did this a lot,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a lot,I didn't do this at all,I did this a little bit,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,I did this a lot,I did this a lot,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a medium amount,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Once a day,Several times a day,Several times a day,Several times a day,Several times a week,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a month,Several times a month,Several times a day,Several times a day,Never,Never,Once a week,Several times a day,Once a day,Once a day,Several times an hour,Several times an hour,Never,Yes,51-100,51-100,Jan-50,Jan-50,Once a day,Once a day,Never,Never,Never,Several times a week,Several times a week,Once a month,Once a day,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,Fairly Often,Sometimes,Fairly Often,31,68,8,28,21,13,61,6,15,23,19,33,10,20,10,10,18
259,18-33,Female,Female,Scottish,Undergraduate Degree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I did this a medium amount,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a little bit,,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a medium amount,Several times a day,Several times a day,Once an hour,Several times a week,Several times an hour,Several times an hour,Once an hour,Once an hour,Once an hour,Once a day,Once a day,Several times an hour,Several times an hour,Several times an hour,Once a day,Several times a day,Several times a day,Once a month,Several times a day,Once an hour,Once an hour,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Yes,751 or more,101-175,Jan-50,0,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Sometimes,Almost Never,36,58,7,27,19,17,67,15,20,24,18,54,16,18,7,10,16
260,33-48,Female,Female,Scottish,"Postgraduate Qualification, Masters",Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,I did this a little bit,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,Several times an hour,Once a day,Several times an hour,Once a day,Several times a day,Several times a day,Several times a day,Several times a day,Once a day,Several times a week,Several times a day,Several times a day,Several times a day,Never,Once a day,Several times a day,Several times a day,Several times a day,Once a week,Once a month,Never,Never,Several times a week,Never,Never,Once a day,Never,Once a week,Never,Never,Never,Yes,376-500,376-500,0,0,Once a day,Once a day,Once a day,Once a week,Once a week,Several times a week,Once a day,Once a day,Once a day,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Fairly Often,Sometimes,Almost Never,26,74,6,30,21,14,53,6,7,12,3,49,16,20,11,9,14
261,18-33,Female,Female,Scottish,"Postgraduate Qualification, Masters",Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,Several times a day,Several times a day,Several times a day,Several times a day,All the time,Once a day,All the time,Once a week,All the time,Several times a week,Several times a day,All the time,Several times a week,Once a day,Several times a week,Several times a week,Several times a week,Several times a week,Once a day,Never,Once a day,Never,Never,Never,Several times a day,Several times a day,Several times a day,Once a week,Never,Never,Never,Yes,751 or more,176-250,Jan-50,0,Once a week,Once a week,Several times a week,Never,Several times a week,Once a day,Once a day,Once a day,Once a day,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Fairly Often,Never,31,51,5,28,25,10,58,7,8,25,3,43,17,22,12,14,16
262,33-48,Female,Female,Other white ethnic group,Undergraduate Degree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a lot,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a lot,I did this a medium amount,I did this a lot,I did this a little bit,I didn't do this at all,I did this a lot,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,Several times a day,Once a day,Once a day,Several times a day,Several times a day,Several times a week,Several times a day,Once a day,Several times a day,Once a day,Several times a day,Once a month,Several times a week,Once a week,Once a month,Several times a day,Several times a day,Several times a day,Several times a month,Never,Several times a week,Never,Never,Never,Several times a month,Once an hour,Several times a week,Once a day,Once a month,Never,Never,Yes,751 or more,751 or more,Jan-50,0,Several times a day,Several times a day,Once a day,Never,Never,Once a week,Several times a day,Once a month,Several times a week,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Sometimes,Very Often,Fairly Often,Almost Never,28,71,4,26,21,11,47,4,7,22,4,40,21,23,7,13,6
264,18-33,Male,Male,Other (not listed),Undergraduate Degree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,I did this a lot,I did this a little bit,I didn't do this at all,I did this a lot,I did this a lot,I did this a lot,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a medium amount,I did this a lot,I did this a lot,I did this a lot,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I did this a lot,I didn't do this at all,I did this a little bit,I did this a lot,I did this a medium amount,I did this a lot,I did this a lot,Several times a day,Once a day,Several times a day,Once a day,Once an hour,Several times a day,Several times an hour,Several times a day,Several times a day,Several times a week,All the time,Several times an hour,Once a day,Once an hour,Once a day,Once an hour,Once an hour,Once an hour,Several times a day,Several times a day,Several times a day,Several times a day,Once an hour,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Never,Never,Yes,751 or more,101-175,0,0,Once an hour,Never,Several times a day,Never,Never,Several times a day,Several times a day,Once a month,Several times a month,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Fairly Often,28,87,9,26,25,14,67,14,22,12,5,37,15,25,8,15,14
265,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a lot,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a little bit,I did this a medium amount,I did this a lot,I did this a little bit,I did this a little bit,I did this a lot,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,Several times a day,Several times a day,Several times a day,Several times a day,Once an hour,Several times a day,Several times a day,Once a day,Several times a day,Once a day,Once an hour,Once an hour,Once an hour,Once a day,Several times a day,Several times an hour,Several times a day,Several times a day,Once a day,Once a week,Once an hour,Several times an hour,Several times a week,Once a day,Several times a week,Several times a day,Several times a day,Several times a day,Several times a week,Once a week,Several times a week,No,,,,,,,,,,,,,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Never,Fairly Often,Fairly Often,Never,43,69,2,28,22,13,66,10,22,26,14,0,0,25,11,13,12
266,18-33,Female,,"Caribbean, Caribbean Scottish or Caribbean British",Undergraduate Degree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,I didn't do this at all,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a little bit,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I did this a lot,I did this a medium amount,I did this a medium amount,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,Never,Never,Never,Yes,376-500,376-500,Jan-50,Jan-50,All the time,All the time,All the time,Once a month,Once a month,All the time,All the time,Once a month,All the time,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,Strongly agree,Strongly disagree,,,Strongly disagree,Never,Very Often,Very Often,Fairly Often,20,82,3,40,21,30,90,20,30,40,3,66,18,28,4,8,2
267,33-48,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,I did this a lot,I did this a lot,I did this a little bit,I didn't do this at all,I did this a lot,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a lot,I did this a little bit,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,Several times a day,Once a day,Several times a day,Several times a week,Several times a day,Several times a month,Several times a day,Several times a week,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a month,Several times a day,Several times a day,Several times a day,Never,Never,Several times a week,Several times a day,Several times a week,Several times a week,Several times a day,Several times a day,Several times a week,Several times a week,Never,Never,Never,Yes,Jan-50,Jan-50,Jan-50,Jan-50,Several times a month,Several times a month,Several times a week,Several times a week,Several times a week,Several times a month,Several times a month,Several times a month,Several times a month,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Almost Never,Fairly Often,Fairly Often,Almost Never,28,77,4,25,21,8,59,2,17,24,3,33,8,16,15,11,10
268,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,I did this a medium amount,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,Several times a day,Several times a day,Several times a day,Once an hour,All the time,Once a week,Several times a month,Several times a month,Several times a week,Once a day,Once a day,All the time,Several times a day,Once a day,Once a day,All the time,Once a day,Several times a week,Once a month,Once a month,Once a month,Once a month,Never,Never,Once a month,Never,Once a month,Once a month,Once a month,Once a month,Never,Yes,Jan-50,Jan-50,Jan-50,Jan-50,Once a day,Several times a week,Several times a month,Several times a month,Several times a month,Several times a month,Once a day,Several times a week,Several times a week,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Sometimes,Fairly Often,22,74,9,29,18,7,62,4,5,7,5,39,8,19,6,12,14
269,,,,,,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a lot,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a lot,I did this a medium amount,I did this a lot,I did this a little bit,I did this a little bit,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a little bit,Several times a day,Several times a day,Several times a day,Several times a day,Several times an hour,Several times a week,Once an hour,Never,Once an hour,Several times a month,Once an hour,Several times a day,Once a day,Several times a week,Once a week,Several times a day,Several times a day,Once an hour,Once a day,Once a day,Never,Several times a week,Several times a day,Several times a day,Once a day,Several times a day,Once a day,Several times a day,,Several times a month,Never,Yes,501-750,501-750,Jan-50,0,Several times a day,Several times a day,Several times a day,Once a week,Several times a month,Once a month,,Several times a day,Once a day,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Never,Very Often,Fairly Often,Almost Never,29,77,2,28,25,6,55,12,13,26,4,43,19,28,13,7,12
270,18-33,Female,,"African, African Scottish or African British","Postgraduate Qualification, Masters",Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,I did this a little bit,I did this a little bit,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a lot,I did this a little bit,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,Several times a day,Once an hour,Once an hour,Once a month,Several times a day,Several times a week,Several times a day,Once a week,Several times a day,Several times a week,Several times a day,All the time,Once an hour,Once a month,Several times a month,All the time,Once an hour,Once an hour,Once a day,Never,Several times a day,Never,Never,Once a month,Once a week,Several times a day,Several times an hour,Once an hour,Never,Never,Never,Yes,251-375,251-375,Jan-50,0,All the time,All the time,Several times a month,Several times a month,Once a month,Several times a day,Several times a day,Several times a week,Several times a day,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Almost Never,Sometimes,Almost Never,Fairly Often,31,62,9,25,22,9,60,7,9,28,3,54,15,20,10,11,12
272,33-48,Female,,Other white ethnic group,Undergraduate Degree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,I did this a little bit,I did this a lot,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a lot,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,All the time,All the time,All the time,All the time,All the time,All the time,All the time,Several times a day,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,All the time,Several times a month,Several times a month,Never,Never,Several times a month,Several times a month,Once a day,Once a day,Once a day,Several times a month,Never,Never,Never,Yes,251-375,251-375,0,0,Several times a month,Several times a month,Several times a month,Once a month,Never,Never,Once a week,Once a month,Several times a month,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Sometimes,Fairly Often,Sometimes,Almost Never,23,72,6,40,21,27,90,6,5,21,3,22,14,12,6,14,7
273,18-33,Female,Non-binary / third gender,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a lot,I did this a little bit,I did this a little bit,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,Several times a day,Several times a day,Once an hour,Several times a day,Several times a week,Several times a week,Several times a week,Several times a week,Once an hour,Several times a day,Several times an hour,Several times a day,Several times a week,Several times a week,Once a week,Several times a week,Once an hour,Several times an hour,Several times a month,Several times a month,Several times a week,Several times a week,Several times a week,Several times a week,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Never,Never,Never,Yes,501-750,251-375,51-100,0,Once a day,Several times a week,Several times a week,Once a month,Once a month,Several times a month,Several times a day,Several times a week,Several times a week,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Fairly Often,Sometimes,Sometimes,Fairly Often,18,82,10,29,19,10,58,6,15,36,3,40,18,14,6,15,8
